race,feature,feature_description,category,min,max,mean,is_binary,units
White,X23100.0.0,Whole body fat mass,Body composition by impedance,5.0,109.8,24.829278644547617,,Kg
White,X23102.0.0,Whole body water mass,Body composition by impedance,18.9,84.3,39.03158279494249,,Kg
White,X23105.0.0,Basal metabolic rate,Body composition by impedance,3364.0,15506.0,6630.511125567085,,KJ
White,X23106.0.0,Impedance of whole body,Body composition by impedance,51.0,998.0,599.8766111995186,,ohms
White,X23107.0.0,Impedance of leg (right),Body composition by impedance,99.0,890.0,247.14789873943437,,ohms
White,X23108.0.0,Impedance of leg (left),Body composition by impedance,99.0,731.0,247.8372685837548,,ohms
White,X23109.0.0,Impedance of arm (right),Body composition by impedance,56.0,998.0,325.57970974570435,,ohms
White,X23110.0.0,Impedance of arm (left),Body composition by impedance,58.0,999.0,332.39515098605517,,ohms
White,X23111.0.0,Leg fat percentage (right),Body composition by impedance,1.0,74.9,32.02534184022664,,percent
White,X23112.0.0,Leg fat mass (right),Body composition by impedance,0.1,30.6,4.310638419599474,,Kg
White,X23113.0.0,Leg fat-free mass (right),Body composition by impedance,1.8,24.4,8.9979132542681,,Kg
White,X23115.0.0,Leg fat percentage (left),Body composition by impedance,1.5,68.2,31.928261758604545,,percent
White,X23116.0.0,Leg fat mass (left),Body composition by impedance,0.1,27.0,4.243406133523758,,Kg
White,X23117.0.0,Leg fat-free mass (left),Body composition by impedance,0.7,24.2,8.89349375226463,,Kg
White,X23119.0.0,Arm fat percentage (right),Body composition by impedance,1.1,74.9,29.44450523487544,,percent
White,X23120.0.0,Arm fat mass (right),Body composition by impedance,0.1,19.0,1.2373423233481164,,Kg
White,X23121.0.0,Arm fat-free mass (right),Body composition by impedance,0.7,26.0,2.9021943885864676,,Kg
White,X23122.0.0,Arm predicted mass (right),Body composition by impedance,0.9,24.9,2.7179053717598527,,Kg
White,X23123.0.0,Arm fat percentage (left),Body composition by impedance,1.0,74.6,30.352942273340805,,percent
White,X23124.0.0,Arm fat mass (left),Body composition by impedance,0.1,23.1,1.3182698318186352,,Kg
White,X23125.0.0,Arm fat-free mass (left),Body composition by impedance,0.9,37.2,2.9335267231862288,,Kg
