race,feature,feature_description,category,min,max,mean,is_binary,units
White,X1990.0.0,Tense / 'highly strung',Mental health,0.0,1.0,0.1795410769794737,,
White,X2000.0.0,Worry too long after embarrassment,Mental health,0.0,1.0,0.4774426770015108,True,
White,X2010.0.0,Suffer from 'nerves',Mental health,0.0,1.0,0.2187205332982999,,
White,X2020.0.0,"Loneliness, isolation",Mental health,0.0,1.0,0.1827004371401751,,
White,X2030.0.0,Guilty feelings,Mental health,0.0,1.0,0.2888070501831835,,
White,X2040.0.0,Risk taking,Mental health,0.0,1.0,0.2623561495218581,True,
White,X2090.0.0,"Seen doctor (GP) for nerves, anxiety, tension or depression",Mental health,0.0,1.0,0.3453682847704431,,
White,X2100.0.0,"Seen a psychiatrist for nerves, anxiety, tension or depression",Mental health,0.0,1.0,0.116326327365653,,
White,X2188.0.0,"Long-standing illness, disability or infirmity",Other health,0.0,1.0,0.3276877340119636,True,
White,X2207.0.0,Wears glasses or contact lenses,Other health,0.0,1.0,0.890049604709163,,
White,X2227.0.0,Other eye problems,Other health,0.0,1.0,0.1446207178591785,,
White,X2257.0.0,Hearing difficulty/problems with background noise,Other health,0.0,1.0,0.3776293568339439,True,
White,X2316.0.0,Wheeze or whistling in the chest in last year,Other health,0.0,1.0,0.2113656445539708,True,
White,X2335.0.0,Chest pain or discomfort,Medication history,0.0,1.0,0.160163244203072,,
White,X2453.0.0,Cancer diagnosed by doctor,Medical condition,0.0,1.0,0.0794692444446328,,
White,X2463.0.0,Fractured/broken bones in last 5 years,Medical condition,0.0,1.0,0.0969378998201008,,
White,X2473.0.0,Other serious medical condition/disability diagnosed by doctor,Medical condition,0.0,1.0,0.2080282922715396,True,
White,X2492.0.0,Taking other prescription medications,Medication history,0.0,1.0,0.4713570416014205,True,
White,X3079.0.0,Pace-maker,Operation,0.0,1.0,0.0031508843453809,,
White,X1239.0.0,Current tobacco smoking,Smoking,0.0,1.0,0.1048543113294104,,
White,X1259.0.0,Smoking/smokers in household,Smoking,0.0,1.0,0.1172014552974905,,
White,X1538.0.0,Major dietary changes in the last 5 years,Diet,0.0,1.0,0.3876371757735771,True,
White,X2159.0.0,Ever had same-sex intercourse,Sexual factors,0.0,1.0,0.0339286887278013,,
White,X2237.0.0,Plays computer games,Electronic device use,0.0,1.0,0.2096980278896703,,
White,X20116.0.0,Smoking status,Smoking,0.0,1.0,0.5394305523476949,,
White,X20117.0.0,Alcohol drinker status,Alcohol,0.0,1.0,0.9324689414342352,True,
White,X20160.0.0,Ever smoked,Smoking,0.0,1.0,0.6076884120771893,,
White,X22035.0.0,At or above moderate/vigorous recommendation,Physical activity,0.0,1.0,0.5402929665565517,,
White,X22036.0.0,At or above moderate/vigorous/walking recommendation,Physical activity,0.0,1.0,0.8157230612102193,,
White,X1677.0.0,Breastfed as a baby,Early life factors,0.0,1.0,0.7161661344560963,,
White,X1767.0.0,Adopted as a child,Early life factors,0.0,1.0,0.0143792206911603,,
White,X1777.0.0,Part of a multiple birth,Early life factors,0.0,1.0,0.0231241431480449,,
White,X1787.0.0,Maternal smoking around birth,Early life factors,0.0,1.0,0.3074729144726665,,
White,Unnamed: 0_y,Unnamed: 0_y,Other,1.0,490283.0,245217.22692936045,,
White,AD,AD,Other,0.0,1.0,0.006045375277318,,
White,vascular,vascular,Other,0.0,1.0,0.0029877249004621,,
White,Lewy_body,Lewy_body,Other,0.0,1.0,0.0013307030053122,,
White,ACD,ACD,Other,0.0,1.0,0.0164112974142406,,
White,Others,Others,Other,0.0,1.0,0.0069226221629856,,
